Title,Location,Price_EUR,Size_sqm,Price_EUR_per_sqm,Floor,Total_floors,Year_built,Info,Link,Scraped_Date,First_Seen_Date,Price_History,Site price history,Sold,Image_Paths
"Продава 3-СТАЕН град София, Младост 2",Младост 2,278000.0,90,3088.89,10,14.0,1980 - 1989,"90 кв.м, 10-ти ет. от 14, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Тристаен непреходен апартамент в средата на горната част на Младост 2. Отлично разпределение. Състои ..., тел.: 0878430485",https://www.imot.bg/obiava-1c177045752902523-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-06,2026-05-06,"278,000 € (2026-05-06)",,True,"images/4aab3b2b9a09/1.jpg,images/4aab3b2b9a09/2.jpg,images/4aab3b2b9a09/3.jpg"
"Продава 3-СТАЕН град София, Младост 1",Младост 1,265000.0,86,3081.4,1,5.0,1996,"86 кв.м, 1-ви ет. от 5, Въведен в експлоатация 1996 г., Eксклузивна оферта!!!    Ж.к. Младост 1, София   отлична, комуникативна локация в близост до метрост ..., тел.: 0887164395",https://www.imot.bg/obiava-1c177244009961713-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"265,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,204990.0,85,2411.65,7,8.0,1970 - 1979,"85 кв.м, 7-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., В БЛИЗОСТ ДО МЕТРОСТАНЦИЯ! 4 ОТДЕЛНИ ПОМЕЩЕНИЯ !  Имоти Премиер представя просторен тристаен апартам ..., тел.: 0877560096",https://www.imot.bg/obiava-1c177305169639447-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-06,2026-05-06,"204,990 € (2026-05-06)",,True,"images/4e10ffad4788/1.jpg,images/4e10ffad4788/2.jpg,images/4e10ffad4788/3.jpg"
"Продава 3-СТАЕН град София, Младост 4",Младост 4,230433.0,115,2003.77,7,10.0,2026,"115 кв.м, 7-ми ет. от 10, ТЕЦ, Въведен в експлоатация 2026 г., 126 Апартамента, магазини, кафе-аперетив, две подземни нива с гаражи и паркоместа. Просторен тристае ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c177367144828761-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"230,433 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,189980.0,100,1899.8,1,4.0,1980 - 1989,"100 кв.м, 1-ви ет. от 4, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ПРОСТОРЕН !!! ТУХЛА !!! ДО МЕТРОСТАНЦИЯ !!! ЮЖЕН !!!   Home2U Ви представя тристаен апартамент, с пл ..., тел.: 0875363330",https://www.imot.bg/obiava-1c177399341083633-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-06,2026-05-06,"189,980 € (2026-05-06)",,True,"images/9848e5931397/1.jpg,images/9848e5931397/2.jpg,images/9848e5931397/3.jpg"
"Продава 3-СТАЕН град София, Младост 1",Младост 1,270000.0,88,3068.18,8,8.0,1990,"88 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1990 г., ПЕРФЕКТЕН АПАРТАМЕНТ,НАПЪЛНО ОБЗАВЕДЕН,ИЗРЯДНИ ДОКУМЕНТИ,ГОТОВ ЗА НАНАСЯНЕ.Агенция Кибела Ви предлаг ..., тел.: 0887308820",https://www.imot.bg/obiava-1c177426681904980-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"270,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Дървеница",Дървеница,199900.0,88,2271.59,7,8.0,1980 - 1989,"88 кв.м, 7-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Само реални и актуални оферти!Нова панелка до метро! Сменена дограма! Външна изолация! ИЗТОК-ЮГ!   П ..., тел.: 0897944425",https://www.imot.bg/obiava-1c177433569859759-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"199,900 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Дървеница",Дървеница,200000.0,85,2352.94,5,8.0,,"85 кв.м, 5-ти ет. от 8, Въведен в експлоатация, ***ТОП ЦЕНА ЗА ТОП ИМОТ***  Имот БГ. Корект предлага за продажба тристаен  апартамент в кв. Дървениц ..., тел.: 0884888369",https://www.imot.bg/obiava-1c177443945437778-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"200,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,278000.0,90,3088.89,10,14.0,1980 - 1989,"90 кв.м, 10-ти ет. от 14, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Тристаен непреходен апартамент в средата на горната част на Младост 2. Отлично разпределение. Състои ..., тел.: 0878430485",https://www.imot.bg/obiava-1c177451145026908-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-06,2026-05-06,"278,000 € (2026-05-06)",,True,"images/017ad0217ca1/1.jpg,images/017ad0217ca1/2.jpg,images/017ad0217ca1/3.jpg"
"Продава 3-СТАЕН град София, Младост 1А",Младост 1А,199000.0,85,2341.18,8,8.0,1980 - 1989,"85 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ЕКСКЛУЗИВНА ОФЕРТА! Апартамент с отлично местоположение на 3 мин. от Метрото с много добро функциона ..., тел.: 0888 694 101",https://www.imot.bg/obiava-1c177471406363821-prodava-tristaen-apartament-grad-sofiya-mladost-1a,2026-05-06,2026-05-06,"199,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,239000.0,100,2390.0,9,12.0,1980 - 1989,"100 кв.м, 9-ти ет. от 12, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Продава се просторен 3-стаен апартамент в град София, кв.Младост 1 на цена от 239 000 евро.  Жилищет ..., тел.: 0878633433",https://www.imot.bg/obiava-1c177485411934580-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"239,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 3",Младост 3,189980.0,100,1899.8,1,5.0,1980 - 1989,"100 кв.м, 1-ви ет. от 5, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ПРОСТОРЕН !!! ТУХЛА !!! ДО МЕТРОСТАНЦИЯ !!! ЮЖЕН !!!   Home2U Ви представя тристаен апартамент, с пл ..., тел.: 0875363330",https://www.imot.bg/obiava-1c177513573641887-prodava-tristaen-apartament-grad-sofiya-mladost-3,2026-05-06,2026-05-06,"189,980 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 3",Младост 3,210000.0,93,2258.06,4,5.0,1998,"93 кв.м, 4-ти ет. от 5, Въведен в експлоатация 1998 г., Агенция Явлена предлага за продажба просторен 3-стаен апартамент в кв. Горубляне, район Младост, ул. ..., тел.: 0892501767",https://www.imot.bg/obiava-1c177521461301083-prodava-tristaen-apartament-grad-sofiya-mladost-3,2026-05-06,2026-05-06,"210,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,189980.0,100,1899.8,1,5.0,1980 - 1989,"100 кв.м, 1-ви ет. от 5, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ПРОСТОРЕН !!! ТУХЛА !!! ДО МЕТРОСТАНЦИЯ !!! ЮЖЕН !!!   Home2U Ви представя тристаен апартамент, с пл ..., тел.: 0875363330",https://www.imot.bg/obiava-1c177546671967595-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"189,980 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,189980.0,100,1899.8,1,5.0,1980 - 1989,"100 кв.м, 1-ви ет. от 5, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ПРОСТОРЕН !!! ТУХЛА !!! ДО МЕТРОСТАНЦИЯ !!! ЮЖЕН !!!   Home2U Ви представя тристаен апартамент, с пл ..., тел.: 0875363330",https://www.imot.bg/obiava-1c177546711383285-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"189,980 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,195000.0,90,2166.67,8,8.0,1980 - 1989,"90 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Светъл, топъл, просторен апартамент в сграда с добре поддържан вход, намираща се на 500 м. от метрос ..., тел.: 0885615308",https://www.imot.bg/obiava-1c177547670610634-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-06,2026-05-06,"195,000 € (2026-05-06)",,True,"images/b23cbdca9e69/1.jpg,images/b23cbdca9e69/2.jpg,images/b23cbdca9e69/3.jpg"
"Продава 3-СТАЕН град София, Младост 4",Младост 4,278000.0,103,2699.03,3,8.0,2025,"103 кв.м, 3-ти ет. от 8, Въведен в експлоатация 2025 г., Тристаен апартамент със ЗП 87,79 кв.м.  Крайна цена с ДДС.  Изключително комуникативно място до Окол ..., тел.: 088 21 21 450",https://www.imot.bg/obiava-1c177548058583994-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"278,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,235500.0,85,2770.59,1,16.0,,"85 кв.м, 1-ви ет. от 16, Въведен в експлоатация, Светъл тристаен апартамент в ЕПК блок в ж.к.Младост 4 със статут на ателие. В близост до метростанци ..., тел.: 0889463315",https://www.imot.bg/obiava-1c177555535656894-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"235,500 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 3",Младост 3,257000.0,120,2141.67,4,8.0,1980 - 1989,"120 кв.м, 4-ти ет. от 8, Въведен в експлоатация 1980 - 1989 г., 5 ОТДЕЛНИ ПОМЕЩЕНИЯ! МЕТРОСТАНЦИЯ! СРЕДЕН ЕТАЖ! Home2U представя просторен ЧЕТИРИСТАЕН апартамент  н ..., тел.: 0875363330",https://www.imot.bg/obiava-1c177555849498209-prodava-tristaen-apartament-grad-sofiya-mladost-3,2026-05-06,2026-05-06,"257,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Дървеница",Дървеница,249750.0,111,2250.0,5,6.0,,"111 кв.м, 5-ти ет. от 6, Въведен в експлоатация, ✨ Представяме Ви **светъл и функционален югоизточен апартамент**, разположен в предпочитан и  ..., тел.: 0886013566",https://www.imot.bg/obiava-1c177556614943362-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"249,750 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,270000.0,96,2812.5,9,13.0,,"96 кв.м, 9-ти ет. от 13, ТЕЦ, Въведен в експлоатация, **ПРОДАВА 3-СТАЕН, СОФИЯ ЮЖНИ РАЙОНИ, ЕПК, ЮЖЕН, ПАНОРАМА**  Предлагаме за продажба просторен и мног ..., тел.: 0888627736",https://www.imot.bg/obiava-1c177565149702300-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"270,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,270000.0,96,2812.5,9,13.0,,"96 кв.м, бул. Цариградско шосе, 9-ти ет. от 13, ТЕЦ, Въведен в експлоатация, **ПРОДАВА 3-СТАЕН, СОФИЯ ЮЖНИ РАЙОНИ, ЕПК, ЮЖЕН, ПАНОРАМА**  Предлагаме за продажба просторен и мног ..., тел.: 0888627736",https://www.imot.bg/obiava-1c177614870648662-prodava-tristaen-apartament-grad-sofiya-mladost-1-bul-tsarigradsko-shose,2026-05-06,2026-05-06,"270,000 € (2026-05-06)",,True,
